school_name,school_about,school_location,country,type,total_student,international_student,accomodation_feature,work_permit_feature,program_cooporation,work_while_study,condition_offer_letter,library,founded,program_name,description,duration,grade_score,overall_band,pte_score, tofel_point,ielts_listening,ielts_speaking,ielts_writting,ielts_reading,new_stream,stream_id,other_fees,application_fee,tution_fee_per_semester,cost_of_living,currency,acceptance_letter,intake_id,visa_processing_days,process_days,program_level,other_comment,Foundation Fee,acceptable_band,module,english_language,program_sort_order,,,,,,,,,
Acsenda School of Management,"The Acsenda School of Management-Vancouver, formerly known as Sprott Shaw Degree College, is a private, for-profit Canadian degree college headquartered in Vancouver, British Columbia, Canada. Patrick Dang was president of Acsenda from 2010 until 2014. Dr. Lindsay Redpath took over as President in 2014","200-666 Burrard St, Vancouver, BC V6C 2X8, Canada",Canada,"1,4",5000,1900,yes,no,yes,yes,yes,yes,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acsenda School of Management,"The Acsenda School of Management-Vancouver, formerly known as Sprott Shaw Degree College, is a private, for-profit Canadian degree college headquartered in Vancouver, British Columbia, Canada. Patrick Dang was president of Acsenda from 2010 until 2014. Dr. Lindsay Redpath took over as President in 2014","200-666 Burrard St, Vancouver, BC V6C 2X8, Canada",Canada,"1,4",5000,1900,yes,no,yes,yes,yes,yes,2004,Bachelor of Business Administration,The Acsenda BBA degree program is designed to prepare students fully for careers in today’s complex global organizations.  The emphasis is on combining theory with practical applications. Faculty are selected both for their strong academic credentials (all faculty members have completed a Master’s or doctoral degree in the field in which they are teaching) and their experience as practicing managers. The result is graduates who have the knowledge and the know how to meet 21st century job requirements in their chosen fields of specialization.,8 sem ,55,6,,,6,6,6,6,"7,8,10",3,1042,150,7650,11000,CAD,7 days,"1,5,9",,4 year,1,Overall 6 Not less then 5.5 is also accepteble in 2 module,,5.5,2,,,,,,,,,,,
Acsenda School of Management,"The Acsenda School of Management-Vancouver, formerly known as Sprott Shaw Degree College, is a private, for-profit Canadian degree college headquartered in Vancouver, British Columbia, Canada. Patrick Dang was president of Acsenda from 2010 until 2014. Dr. Lindsay Redpath took over as President in 2014","200-666 Burrard St, Vancouver, BC V6C 2X8, Canada",Canada,"1,4",5000,1900,yes,no,yes,yes,yes,yes,2004,Bachelor of Hospitality Management,The Acsenda BHM degree program integrates the principles and practices of business management with an in-depth application of the skills and knowledge of the global hospitality industry. An international internship allows students the opportunity to link classroom learning to the hospitality business environment.,8 sem ,55,6,,,6,6,6,6,"6,8",3,1042,150,7458,11000,CAD,7 days,"1,5,9",,4 year,1,Overall 6 Not less then 5.5 is also accepteble in 2 module,,5.5,2,,,,,,,,,,,
Acsenda School of Management,"The Acsenda School of Management-Vancouver, formerly known as Sprott Shaw Degree College, is a private, for-profit Canadian degree college headquartered in Vancouver, British Columbia, Canada. Patrick Dang was president of Acsenda from 2010 until 2014. Dr. Lindsay Redpath took over as President in 2014","200-666 Burrard St, Vancouver, BC V6C 2X8, Canada",Canada,"1,4",5000,1900,yes,no,yes,yes,yes,yes,2004,Advanced Diploma in Business Administration,"Our Advanced Diploma in Business Administration (ADBA) program is designed especially for students who want an academic-level business education, but who also want to keep their future options flexible.",4 sem ,55,6,,,6,6,6,6,"7,10",3,1042,150,7458,11000,CAD,7 days,"1,5,9",,2 year,"2,1",Overall 6 Not less then 5.5 is also accepteble in 2 module,,5.5,2,,1,,,,,,,,,
Acsenda School of Management,"The Acsenda School of Management-Vancouver, formerly known as Sprott Shaw Degree College, is a private, for-profit Canadian degree college headquartered in Vancouver, British Columbia, Canada. Patrick Dang was president of Acsenda from 2010 until 2014. Dr. Lindsay Redpath took over as President in 2014","200-666 Burrard St, Vancouver, BC V6C 2X8, Canada",Canada,"1,4",5000,1900,yes,no,yes,yes,yes,yes,2004,Post Graduate Diploma in International Business Management,"The Post Graduate Diploma in International Business Management is a 2 year (24 month) program for students who have a first degree and who would like a more focused academic program specializing in International Business Management.  The program concentrates on the latest management strategies, combining lectures, group work, and case studies.",4 sem ,55,6,,,6,6,6,6,"7,8,10",3,1042,150,7458,11000,CAD,7 days,"1,5,9",,2 year,2,Overall 6 Not less then 5.5 is also accepteble in 2 module,,5.5,2,,2,,,,,,,,,
Acsenda School of Management,"The Acsenda School of Management-Vancouver, formerly known as Sprott Shaw Degree College, is a private, for-profit Canadian degree college headquartered in Vancouver, British Columbia, Canada. Patrick Dang was president of Acsenda from 2010 until 2014. Dr. Lindsay Redpath took over as President in 2014","200-666 Burrard St, Vancouver, BC V6C 2X8, Canada",Canada,"1,4",5000,1900,yes,no,yes,yes,yes,yes,2004,Post Graduate Certificate in General Management,"The Post Graduate Certificate in General Management is a 1 year (12 Month) program, concentrating on the latest management concepts and trends. Students who have previously completed an undergraduate degree will gain valuable knowledge from a post graduate business program with an international focus.",2 sem ,55,6,,,6,6,6,6,"7,8,10",3,1042,150,7458,11000,CAD,7 days,"1,5,9",,1 year,2,Overall 6 Not less then 5.5 is also accepteble in 2 module,,5.5,2,,2,,,,,,,,,
Acsenda School of Management,"The Acsenda School of Management-Vancouver, formerly known as Sprott Shaw Degree College, is a private, for-profit Canadian degree college headquartered in Vancouver, British Columbia, Canada. Patrick Dang was president of Acsenda from 2010 until 2014. Dr. Lindsay Redpath took over as President in 2014","200-666 Burrard St, Vancouver, BC V6C 2X8, Canada",Canada,"1,4",5000,1900,yes,no,yes,yes,yes,yes,2004,Post Graduate Diploma in General Business Management,"The Post Graduate Diploma in General Business Management is a 2 year (24 month) program for students who have a first degree and who would like a more comprehensive program of academic business studies.  The program concentrates on the latest management strategies, combining lectures, group work, and case studies.",4 sem ,55,6,,,6,6,6,6,"7,8,10",3,1042,150,7458,11000,CAD,7 days,"1,5,9",,2 year,2,Overall 6 Not less then 5.5 is also accepteble in 2 module,,5.5,2,,2,,,,,,,,,
Acsenda School of Management,"The Acsenda School of Management-Vancouver, formerly known as Sprott Shaw Degree College, is a private, for-profit Canadian degree college headquartered in Vancouver, British Columbia, Canada. Patrick Dang was president of Acsenda from 2010 until 2014. Dr. Lindsay Redpath took over as President in 2014","200-666 Burrard St, Vancouver, BC V6C 2X8, Canada",Canada,"1,4",5000,1900,yes,no,yes,yes,yes,yes,2004,Post Graduate Diploma in Human Resources Management,"The Post Graduate Diploma in Human Resources Management is a 2 year (24 month) program for students who have a first degree and who would like a more focused academic program specializing in Human Resources Management. This program concentrates on the latest management strategies, combining lectures, group work, and case studies.",4 sem ,55,6,,,6,6,6,6,"7,8,10",3,1042,150,7458,11000,CAD,7 days,"1,5,9",,2 year,2,Overall 6 Not less then 5.5 is also accepteble in 2 module,,5.5,2,,2,,,,,,,,,
Acsenda School of Management,"The Acsenda School of Management-Vancouver, formerly known as Sprott Shaw Degree College, is a private, for-profit Canadian degree college headquartered in Vancouver, British Columbia, Canada. Patrick Dang was president of Acsenda from 2010 until 2014. Dr. Lindsay Redpath took over as President in 2014","200-666 Burrard St, Vancouver, BC V6C 2X8, Canada",Canada,"1,4",5000,1900,yes,no,yes,yes,yes,yes,2004,Post Graduate Diploma in Marketing,"The Post Graduate Diploma in Marketing is a 2 year (24 month) program for students who have a first degree and who would like a focused academic program specializing in Marketing.  The program concentrates on the latest management strategies, combining lectures, group work, and case studies.",4 sem ,55,6,,,6,6,6,6,"7,8,10",3,1042,150,7458,11000,CAD,7 days,"1,5,9",,2 year,2,Overall 6 Not less then 5.5 is also accepteble in 2 module,,5.5,2,,2,,,,,,,,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is an undergraduate-only public university with its main campus in Sault Ste. Marie, Ontario, Canada. Established in 1965, Algoma is the smallest undergraduate-only university in Ontario","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"2,5",4500,1600,yes,yes,yes,yes,yes,yes,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
