school_name,school_about,school_location,country,type,total_student,international_student,accomodation_feature,work_permit_feature,program_cooporation,work_while_study,condition_offer_letter,library,founded,program_name,description,duration,grade_score,overall_band,pte_score, tofel_point,ielts_listening,ielts_speaking,ielts_writting,ielts_reading,new_stream,stream_id,other_fees,application_fee,tution_fee_per_semester,cost_of_living,currency,acceptance_letter,intake_id,visa_processing_days,process_days,program_level,Others Comment,Foundation Fee,acceptable_band,module,english_language,program_sort_order
Pacific College of Technology,asfdfsdf,"91-95 Rawson St, Auburn NSW 2144, Australia",Australia,"1,4",7000,700,yes,yes,yes,yes,no,yes,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific College of Technology,,"91-95 Rawson St, Auburn NSW 2144, Australia",Australia,"1,4",7000,700,yes,yes,yes,yes,no,yes,2003,This course is intended for people who are working and/or wishing to work in the professional accounting job roles in financial services and other industries.,This course is intended for people who are working and/or wishing to work in the professional accounting job roles in financial services and other industries.,2 sem,60,5.5,50,59,5,5,5,5,"7,8,9,10,20",3,390,150,5000,20290,AUD,20 days,"2,7,11",,1 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
Pacific College of Technology,"Pacific College of Technology is an award-winning registered provider of vocational education and training, offering courses in Accounting, Business, Management and Information Technology. By completing a diploma/ advanced�diploma with us, students open up a pathway to enter into most universities in Australia and are well prepared for real-life work","91-95 Rawson St, Auburn NSW 2144, Australia",Australia,"1,4",7000,700,yes,yes,yes,yes,no,yes,2003,Advanced Diploma of Leadership and Management,This course is intended for people who are working and/or wishing to work in the professional accounting job roles in financial services and other industries.,2 sem,60,5.5,50,59,5,5,5,5,"6,7,8,9,10",3,390,150,5000,20290,AUD,20 days,"2,7,11",,1 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
Pacific College of Technology,"Pacific College of Technology is an award-winning registered provider of vocational education and training, offering courses in Accounting, Business, Management and Information Technology. By completing a diploma/ advanced�diploma with us, students open up a pathway to enter into most universities in Australia and are well prepared for real-life work","91-95 Rawson St, Auburn NSW 2144, Australia",Australia,"1,4",7000,700,yes,yes,yes,yes,no,yes,2003,Advanced Diploma of Network Security,"This qualification provides the skills and knowledge for an individual to plan, design, manage and monitor an enterprise information and communications technology (ICT) network as an independent ICT specialist or as part of a team responsible for advanced ICT network security systems. The qualification has a high-level ICT technical base with appropriate security units and the ability to specialise in a number of areas, including voice, wireless, network infrastructure and sustainability.",2 sem,60,5.5,50,59,5,5,5,5,"1,2,3,5",24,390,150,5000,20290,AUD,20 days,"2,7,11",,1 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
Pacific College of Technology,"Pacific College of Technology is an award-winning registered provider of vocational education and training, offering courses in Accounting, Business, Management and Information Technology. By completing a diploma/ advanced�diploma with us, students open up a pathway to enter into most universities in Australia and are well prepared for real-life work","91-95 Rawson St, Auburn NSW 2144, Australia",Australia,"1,4",7000,700,yes,yes,yes,yes,no,yes,2003,Diploma of Accounting,"The target groups for this qualification are�people who require knowledge and skills to work in the financial services and accounting field. This group may include: local and international students, employees who require skills in financial services.�",4 sem,60,5.5,50,59,5,5,5,5,"7,8,9,10,20",3,390,150,5000,20290,AUD,20 days,"2,7,11",,2 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
Pacific College of Technology,"Pacific College of Technology is an award-winning registered provider of vocational education and training, offering courses in Accounting, Business, Management and Information Technology. By completing a diploma/ advanced�diploma with us, students open up a pathway to enter into most universities in Australia and are well prepared for real-life work","91-95 Rawson St, Auburn NSW 2144, Australia",Australia,"1,4",7000,700,yes,yes,yes,yes,no,yes,2003,Diploma of Business Administration,"This course is designed for students wishing to develop skills and knowledge in planning, management, administration, payroll, maintaining a workgroup network, organisational and business records, document design and development, managing human resources and coordinating teams or middle management in small, medium and large organisations.",4 sem,60,5.5,50,59,5,5,5,5,"7,8,9,10",3,390,150,5000,20290,AUD,20 days,"2,7,11",,2 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
Pacific College of Technology,"Pacific College of Technology is an award-winning registered provider of vocational education and training, offering courses in Accounting, Business, Management and Information Technology. By completing a diploma/ advanced�diploma with us, students open up a pathway to enter into most universities in Australia and are well prepared for real-life work","91-95 Rawson St, Auburn NSW 2144, Australia",Australia,"1,4",7000,700,yes,yes,yes,yes,no,yes,2003,Diploma of Human Resources Management,"This course will provide specific knowledge, skills and understandings in Human Resources Management, together with a range of generic communication skills.",4 sem,60,5.5,50,59,5,5,5,5,"6,7,8,9,10",3,390,150,5000,20290,AUD,20 days,"2,7,11",,2 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
Pacific College of Technology,"Pacific College of Technology is an award-winning registered provider of vocational education and training, offering courses in Accounting, Business, Management and Information Technology. By completing a diploma/ advanced�diploma with us, students open up a pathway to enter into most universities in Australia and are well prepared for real-life work","91-95 Rawson St, Auburn NSW 2144, Australia",Australia,"1,4",7000,700,yes,yes,yes,yes,no,yes,2003,Diploma of Information Technology Networking,"This qualification provides the skills and knowledge for an individual to manage, as an independent ICT specialist or as part of a team, the installation of a range of networks, including internetworking, security and e-business integration",4 sem,60,5.5,50,59,5,5,5,5,"1,2,5",24,390,150,5000,20290,AUD,20 days,"2,7,11",,2 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
Pacific College of Technology,"Pacific College of Technology is an award-winning registered provider of vocational education and training, offering courses in Accounting, Business, Management and Information Technology. By completing a diploma/ advanced�diploma with us, students open up a pathway to enter into most universities in Australia and are well prepared for real-life work","91-95 Rawson St, Auburn NSW 2144, Australia",Australia,"1,4",7000,700,yes,yes,yes,yes,no,yes,2003,Diploma of Marketing and Communication,"Successful completion of Diploma of Marketing and Communication provides individuals with a sound theoretical knowledge and understanding of marketing and communication, and a range of skills that will ensure these functions are effectively led and managed in an organisation or business area. Typically, graduates of this course will be responsible for other staff and lead teams in marketing and communication.",4 sem,60,5.5,50,59,5,5,5,5,"7,8,9,10,21",24,390,150,5000,20290,AUD,20 days,"2,7,11",,2 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
PGA International Golf Institut,1231,"1 Gleneagles Drive, Sanctuary Cove QLD 4212, Australia",Australia,"1,4",2000,470,yes,yes,yes,yes,no,yes,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGA International Golf Institut,sdf,"1 Gleneagles Drive, Sanctuary Cove QLD 4212, Australia",Australia,"1,4",2000,470,yes,yes,yes,yes,no,yes,1911,Diploma of Golf Management,"The PGA International Golf Institute (PGA IGI) delivers Australia�s only 10459NAT Diploma of Golf Management qualification. Delivered over one year of study, students will undertake a program of academic study and golf development, to take the first steps towards a career in golf.",4 sem,60,5.5,50,59,5,5,5,5,"6,7,8,9,10",3,390,150,5000,20290,AUD,20 days,"2,7,11",,2 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
PGA International Golf Institut,,"1 Gleneagles Drive, Sanctuary Cove QLD 4212, Australia",Australia,"1,4",2000,470,yes,yes,yes,yes,no,yes,1911,Bachelor of Business majoring in either Sports Management or Event Management,"The Golf Performance Program is a high performance and improvement program suitable for students looking to improve their playing, enter the PGA Trainee Program or an undergraduate degree/course.",6 sem,60,5.5,50,59,5,5,5,5,"6,7,8,9,10",3,390,150,5000,20290,AUD,20 days,"2,7,11",,3 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
PGA International Golf Institut,,"1 Gleneagles Drive, Sanctuary Cove QLD 4212, Australia",Australia,"1,4",2000,470,yes,yes,yes,yes,no,yes,1911,Advanced Diploma of Leadership and Management,"The study content has been chosen to reflect the education needs of the golf course and club management industry, covering a broad range of club management subjects for managers in today�s business climate. This Advanced Diploma program is exclusively endorsed by Golf Management Australia (GMA).",2 sem,60,5.5,50,59,5,5,5,5,"6,7,8,9,10",3,390,150,5000,20290,AUD,20 days,"2,7,11",,1 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
PGA International Golf Institut,,"1 Gleneagles Drive, Sanctuary Cove QLD 4212, Australia",Australia,"1,4",2000,470,yes,yes,yes,yes,no,yes,1911,Diploma in Hospitality  Management ,"Diploma of Hospitality Management provides pathways in the hospitality sector to work as a departmental manager. This qualification provides pathways for individuals to potentially work in organisation such as golf clubs, accommodation services, hotels, food and beverage, gaming and other hospitality venues",4 sem,60,5.5,50,59,5,5,5,5,"6,7,8,9,10",2,390,150,5000,20290,AUD,20 days,"2,7,11",,2 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
PGA International Golf Institut,,"1 Gleneagles Drive, Sanctuary Cove QLD 4212, Australia",Australia,"1,4",2000,470,yes,yes,yes,yes,no,yes,1911,Diploma of Golf Management ,"�Diploma of Golf Management qualification. Delivered over one year of study, students will undertake a program of academic study and golf development, to take the first steps towards a career in golf.",4 sem,60,5.5,50,59,5,5,5,5,"6,7,8,9,10",3,390,150,5000,20290,AUD,20 days,"2,7,11",,2 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
PGA International Golf Institut,,"1 Gleneagles Drive, Sanctuary Cove QLD 4212, Australia",Australia,"1,4",2000,470,yes,yes,yes,yes,no,yes,1911,Certificate  III in Hospitality,The PGA IGI has been a leader in education for golf management and club management since 2005. Graduates of programs and qualifications delivered by the PGA IGI are now working in businesses and facilities in Australia and around the world.,2 sem,60,5.5,50,59,5,5,5,5,"6,7,8,9,10",2,390,150,5000,20290,AUD,20 days,"2,7,11",,1 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
PGA International Golf Institut,"Founded in 1911, The PGA of Australia is the second oldest PGA in the world, comprised of more than 2,000 dedicated men and women promoting the game of golf to everyone, everywhere. The PGA of Australia is a not-for-profit organisation that promotes the game of golf while continuing to grow the standards of the golfing profession","1 Gleneagles Drive, Sanctuary Cove QLD 4212, Australia",Australia,"1,4",2000,470,yes,yes,yes,yes,no,yes,1911,Certificate IV in Hospitality ,"SIT40416 Certificate IV in Hospitality reflects the skills and roles of individuals in supervisory roles at hospitality venues. The qualification provides a sound knowledge of industry operations to plan, monitor and evaluate the work of team members they would supervise in the workplace.",2 sem,60,5.5,50,59,5,5,5,5,"6,7,8,9,10",2,390,150,5000,20290,AUD,20 days,"2,7,11",,1 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
University Preparation College,"University Preparation College (UPC)�commits to sustainable & quality education and recognises education as a fundamental human right. We provide lifetime training for Australian and international students in English, Childcare, Accounting, Business, Management and Marketing under study environments which allow our students to�learn smarter, learn better. UPC graduates either join the workforce or articulate to bachelor degrees at many Australian universities.","level 1/27 Greenfield Parade, Bankstown NSW 2200, Australia",Australia,"2,4",3000,760,yes,yes,yes,yes,no,yes,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Preparation College,"University Preparation College (UPC)�commits to sustainable & quality education and recognises education as a fundamental human right. We provide lifetime training for Australian and international students in English, Childcare, Accounting, Business, Management and Marketing under study environments which allow our students to�learn smarter, learn better. UPC graduates either join the workforce or articulate to bachelor degrees at many Australian universities.","level 1/27 Greenfield Parade, Bankstown NSW 2200, Australia",Australia,"2,4",3000,760,yes,yes,yes,yes,no,yes,2002,Diploma of Accounting (9 months).,"This qualification reflects the job roles with functions that could include financial data entry, processing accounts and payrolls, providing customer service in financial transactions and producing reports. These employees apply knowledge and skills to demonstrate autonomy and judgement and to take limited responsibility in known situations under general supervision",2 sem,60,5.5,50,59,5,5,5,5,"7,8,9,10,20",3,390,150,5000,20290,AUD,20 days,"2,7,11",,1 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
University Preparation College,"University Preparation College (UPC)�commits to sustainable & quality education and recognises education as a fundamental human right. We provide lifetime training for Australian and international students in English, Childcare, Accounting, Business, Management and Marketing under study environments which allow our students to�learn smarter, learn better. UPC graduates either join the workforce or articulate to bachelor degrees at many Australian universities.","level 1/27 Greenfield Parade, Bankstown NSW 2200, Australia",Australia,"2,4",3000,760,yes,yes,yes,yes,no,yes,2002,Certificate in III Accounts Administration,"This qualification reflects the job roles with functions that could include financial data entry, processing accounts and payrolls, providing customer service in financial transactions and producing reports. These employees apply knowledge and skills to demonstrate autonomy and judgement and to take limited responsibility in known situations under general supervision",2 sem,50,5.5,50,59,5,5,5,5,"7,8,9,10,20",3,390,150,5000,20290,AUD,20 days,"2,7,11",,1 year,2,Section 1 University 50% Section 2 University 55% to 60% marks Section 3 60% to 70%,,5.5,4,,
University Preparation College,"University Preparation College (UPC)�commits to sustainable & quality education and recognises education as a fundamental human right. We provide lifetime training for Australian and international students in English, Childcare, Accounting, Business, Management and Marketing under study environments which allow our students to�learn smarter, learn better. UPC graduates either join the workforce or articulate to bachelor degrees at many Australian universities.","level 1/27 Greenfield Parade, Bankstown NSW 2200, Australia",Australia,"2,4",3000,760,yes,yes,yes,yes,no,yes,2002,Certificate III in Business ,"This qualification reflects the varied roles of individuals across different industry sectors who apply a broad range of competencies using some discretion, judgment and relevant theoretical knowledge. They may provide technical advice and support to a team.",2 sem,60,5.5,50,59,5,5,5,5,"7,8,9,10",3,390,150,5000,20290,AUD,20 days,"2,7,11",,1 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
University Preparation College,"University Preparation College (UPC)�commits to sustainable & quality education and recognises education as a fundamental human right. We provide lifetime training for Australian and international students in English, Childcare, Accounting, Business, Management and Marketing under study environments which allow our students to�learn smarter, learn better. UPC graduates either join the workforce or articulate to bachelor degrees at many Australian universities.","level 1/27 Greenfield Parade, Bankstown NSW 2200, Australia",Australia,"2,4",3000,760,yes,yes,yes,yes,no,yes,2002,Diploma in Early Childhood Care,This qualification will teach you the skills required to be responsible for designing and implementing curriculums that foster children�s learning and development. In doing so you will work to implement an approved learning framework within the requirements of the Education and Care Services National Regulations and the National Quality Standards,4 sem,60,5.5,50,59,5,5,5,5,"6,13,14",23,390,150,5000,20290,AUD,20 days,"2,7,11",,2 year,1,if the student is from state board then 70% marks if from CBSE or ICSE board 60% marks will be required,,5.5,4,,
University Preparation College,"University Preparation College (UPC)�commits to sustainable & quality education and recognises education as a fundamental human right. We provide lifetime training for Australian and international students in English, Childcare, Accounting, Business, Management and Marketing under study environments which allow our students to�learn smarter, learn better. UPC graduates either join the workforce or articulate to bachelor degrees at many Australian universities.","level 1/27 Greenfield Parade, Bankstown NSW 2200, Australia",Australia,"2,4",3000,760,yes,yes,yes,yes,no,yes,2002,Certificate in Early Childhood Care,"This qualification provides workers looking to work with children in a supervised or unsupervised capacity with an understanding of child-centred approaches, knowledge about learning and development, and using organisation policies, procedures and individual children�s profiles to plan activities and provide care to children, facilitating their leisure and play and enabling the children to achieve their physical and mental development",2 sem,50,5.5,50,59,5,5,5,5,"6,13,14",23,390,150,5000,20290,AUD,20 days,"2,7,11",,1 year,2,Section 1 University 50% Section 2 University 55% to 60% marks Section 3 60% to 70%,,5.5,4,,
