school_name,school_about,school_location,country,type,total_student,international_student,accomodation_feature,work_permit_feature,program_cooporation,work_while_study,condition_offer_letter,library,founded,program_name,description,duration,grade_score,overall_band,pte_score, tofel_point,new_stream,stream_id,other_fees,application_fee,min_tution_fee_per_semester,max_tution_fee,cost_of_living,currency,acceptance_letter,intake_id,visa_processing_days,process_days,credentials,program_level,other_comment,foundation_fee,acceptable_band,module,english_language,program_sort_order
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Business (Sault St. Marie),The Certificate in Business is a one year program designed for students whose main interest is in acquiring basic knowledge and skills in business to enter or re-enter the workforce quickly. It is suitable for students who already hold another degree but desire some business skills to complement their work experience and previous education. All courses taken as part of the Certificate in Business may be applied toward a Bachelor of Business Administration degree should the student meet the entrance requirements of that degree.,1 Year,60,6,63,79,"10,7",,,125,16000,20000,,CAD,22 days,"1,5,9",,1 Year,PG,2,Overall 6.0 No Less Than 6.0,,6,4,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Environmental Science (Sault St. Marie),The Certificate in Business is a one year program designed for students whose main interest is in acquiring basic knowledge and skills in business to enter or re-enter the workforce quickly. It is suitable for students who already hold another degree but desire some business skills to complement their work experience and previous education. All courses taken as part of the Certificate in Business may be applied toward a Bachelor of Business Administration degree should the student meet the entrance requirements of that degree.,1 Year,60,6,63,79,"5,1",,,125,16000,20000,,CAD,22 days,"1,5,9",,1 Year,PG,2,Overall 6.0 No Less Than 6.0,,6,4,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Health Science (Sault St. Marie),"The Graduate Certificate in Health Science is a multidisciplinary program, that provides students with a wide variety of course options related to the field of Health Sciences. The certificate approaches the topic of Health Sciences from the viewpoint of multiple disciplines (Biology, Psychology, Philosophy, Sociology) and allows students to customize the certificate to their particular careers goals and interests.",1 Year,60,6,63,79,16,,,125,16000,20000,,CAD,22 days,"1,5,9",,1 Year,PG,2,Overall 6.0 No Less Than 6.0,,6,4,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Human Resource Management (Brampton),The two semester (8-month) Graduate Certificate in Human Resources Management prepares students for a career as a Human Resources professional. It is suitable for students who already hold another degree but desire skills in the HR field to complement their work experience and previous education.,1 Year,60,6,63,79,"10,7",,,125,16000,20000,,CAD,22 days,"1,5,9",,1 Year,PG,2,Overall 6.0 No Less Than 6.0,,6,4,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Human Resource Management (Sault St. Marie),The two semester (8-month) Graduate Certificate in Human Resources Management prepares students for a career as a Human Resources professional. It is suitable for students who already hold another degree but desire skills in the HR field to complement their work experience and previous education.,1 Year,60,6,63,79,"10,7",,,125,16000,20000,,CAD,22 days,"1,5,9",,1 Year,PG,2,Overall 6.0 No Less Than 6.0,,6,4,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Human Resource Management and Business Management (Brampton),The four semester (16 -month) Graduate Certificate Human Resources and Business Management prepares students for a career as a Human Resources professional with basic business knowledge to enter or re-enter the workforce quickly. It is suitable for students who already hold another degree but want to acquire skills in business management and HR to complement their work experience and previous education.,2 Years,60,6,63,79,"10,7",,,125,16000,20000,,CAD,22 days,"1,5,9",,2 Years,PG,2,Overall 6.0 No Less Than 6.0,,6,4,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Human Resource Management and Business Management (Sault St Marie),The four semester (16 -month) Graduate Certificate Human Resources and Business Management prepares students for a career as a Human Resources professional with basic business knowledge to enter or re-enter the workforce quickly. It is suitable for students who already hold another degree but want to acquire skills in business management and HR to complement their work experience and previous education.,2 Years,60,6,63,79,"10,7",,,125,16000,20000,,CAD,22 days,"1,5,9",,2 Years,PG,2,Overall 6.0 No Less Than 6.0,,6,4,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Information Technology (Brampton),"It is nearly impossible to think of any aspect of modern business that does not rely on Information and Communication Technology (ICT). ICT capability is an essential element of business success and jobs with these high-demand skills are continuing to expand rapidly. Designed for students with a bachelor’s degree or college diploma outside of the field, our graduate Graduate Certificate in Information Technology will provide you with the specialist skills you need to ignite your career in ICT. You will gain essential skills in programming, software development, object-oriented analysis and design, web technologies and databases, e-business strategy, and project management, which will complement your existing critical thinking and communication abilities. Information and Communication Technology skills can improve job prospects as well as productivity for those already involved in the field.",1 Year,60,6,63,79,"1,2",,,125,16000,20000,,CAD,22 days,"1,5,9",,2 Years,PG,2,Overall 6.0 No Less Than 6.0,,6,4,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Project Management (Brampton),"This two- year certificate focuses on the in-demand field of project management and explores foundational standards and practice guide frameworks prescribed by the Project Management Institute (PMI). In this program students will build technical skills, business strategy knowledge, and leadership skills necessary to excel in today’s workforce.",2 Years,60,6,63,79,"1,7",,,125,16000,20000,,CAD,22 days,"1,5,9",,2 Years,PG,2,Overall 6.0 No Less Than 6.0,,6,4,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Information Technology (Sault St. Marie),"It is nearly impossible to think of any aspect of modern business that does not rely on Information and Communication Technology (ICT). ICT capability is an essential element of business success and jobs with these high-demand skills are continuing to expand rapidly. Designed for students with a bachelor’s degree or college diploma outside of the field, our graduate Graduate Certificate in Information Technology will provide you with the specialist skills you need to ignite your career in ICT. You will gain essential skills in programming, software development, object-oriented analysis and design, web technologies and databases, e-business strategy, and project management, which will complement your existing critical thinking and communication abilities. Information and Communication Technology skills can improve job prospects as well as productivity for those already involved in the field.",1 Year,60,6,63,79,2,,,125,16000,20000,,CAD,22 days,"1,5,9",,1 Year,PG,2,Overall 6.0 No Less Than 6.0,,6,4,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Mobile Software Development (Brampton),"The Mobile Software Engineering specialization enables the student to apply the foundation skills of Computer Science to the development of applications and systems that implement the use of mobile devices in modern computer systems. This allows them to develop expertise in what is becoming a predominant part of the application of computer technology. The students will study the range of applications of mobile devices and will learn to develop applications on a variety of mobile platforms. The graduate will be able to apply the use of mobile devices in business, industry, social media and gaming. The specialization requires the student to do at least one major project that can form the basis for a portfolio of skills as they seek employment in the industry.",1 Year,60,6,63,79,2,,,125,16000,20000,,CAD,22 days,"1,5,9",,1 Year,PG,2,Overall 6.0 No Less Than 6.0,,6,4,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Mobile Software Development (Sault St. Marie),"The Mobile Software Engineering specialization enables the student to apply the foundation skills of Computer Science to the development of applications and systems that implement the use of mobile devices in modern computer systems. This allows them to develop expertise in what is becoming a predominant part of the application of computer technology. The students will study the range of applications of mobile devices and will learn to develop applications on a variety of mobile platforms. The graduate will be able to apply the use of mobile devices in business, industry, social media and gaming. The specialization requires the student to do at least one major project that can form the basis for a portfolio of skills as they seek employment in the industry.",1 Year,60,6,63,79,2,,,125,16000,20000,,CAD,22 days,"1,5,9",,1 Year,PG,2,Overall 6.0 No Less Than 6.0,,6,4,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Project Management (Sault St. Marie),"This two- year certificate focuses on the in-demand field of project management and explores foundational standards and practice guide frameworks prescribed by the Project Management Institute (PMI). In this program students will build technical skills, business strategy knowledge, and leadership skills necessary to excel in today’s workforce.",2 Years,60,6,63,79,"1,7",,,125,16000,20000,,CAD,22 days,"1,5,9",,2 Years,PG,2,Overall 6.0 No Less Than 6.0,,6,4,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Accounting (Sault St. Marie),"Our three-year accounting program is the perfect fit for students who have an aptitude for numbers, organizing, and analytical problem-solving skills.In today’s global work world, accountants are in high demand. With the economy bouncing back from the recent economic downturn, Service Canada has forecasted accounting careers to be on the rise to mimic the economic upswing. Here at Algoma U, our students have a fundamental understanding of accounting concepts and principles needed to succeed in life and in their future career.",3 Years,65,6,63,79,7,,,125,16000,20000,,CAD,22 days,"1,5,9",,3 Years,Degree,1,Overall 6.0 No Less Than 6.0,,6,4,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Anishinnabe Studies (Sault St. Marie),"The Anishinaabe Studies program explores the enduring history of the Anishinaabe, the original peoples of this part of the world. Graduates will understand the relatively recent influence of colonization, consequential social issues, and significant contemporary movements in Anishinaabe society. They will further develop broad cross-cultural understanding, and experience both traditional and contemporary Anishinaabe research methodologies, as they relate to other research paradigms.",3 Years,65,6,63,79,6,,,125,16000,20000,,CAD,22 days,"1,5,9",,3 Years,Degree,1,Overall 6.0 No Less Than 6.0,,6,4,,
Algoma University,"Algoma University, commonly shortened to Algoma U or Algoma, is a public university with its main campus located in Sault Ste. Marie, Ontario, Canada.","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada",Canada,"1,4",3000,300,yes,yes,yes,yes,yes,yes,1965,Anishinnabemowin (Sault St. Marie),"The Anishinaabe Studies program explores the enduring history of the Anishinaabe, the original peoples of this part of the world. Graduates will understand the relatively recent influence of colonization, consequential social issues, and significant contemporary movements in Anishinaabe society. They will further develop broad cross-cultural understanding, and experience both traditional and contemporary Anishinaabe research methodologies, as they relate to other research paradigms.",3 Years,65,6,63,79,6,,,125,16000,20000,,CAD,22 days,"1,5,9",,3 Years,Degree,1,Overall 6.0 No Less Than 6.0,,6,4,,
