school_name,school_about,school_location,country,type,total_student,international_student,accomodation_feature,work_permit_feature,program_cooporation,work_while_study,condition_offer_letter,library,founded,program_name,description,duration,sem_per_year,grade_score,overall_band,pte_score, tofel_point,new_stream,stream_id,other_fees,application_fee,min_tution_fee_per_semester,max_tution_fee,cost_of_living,currency,acceptance_letter,intake_id,visa_processing_days,process_days,credentials,program_level,other_comment,foundation_fee,acceptable_band,module,english_language,program_sort_order
Cambrian College new,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Global Business Management - GBC2 - (Barrydowne),"Our Global Business Management program is designed to prepare graduates from various educational and cultural backgrounds to perform managerial roles in global business organizations as well as domestic businesses who are engaged in cross-border business activities. This four-semester graduate certificate program delivers a curriculum that will give you an industry-focused skill set. Through case studies and simulations, you will put your skills into action to solve real-life business problems. The program covers all fundamental business functions, such as marketing, finance, organization behaviour, and business strategy in a global setting, to prepare you for general management roles in various industries across the globe. The program emphasizes leadership, critical analysis, problem solving, high-performance teamwork, business strategy, ?and managing in a cross-cultural environment.",2,,60,6.5,61,84,,"7,8",,95,15000,18000,,CAD,35 days,"1,5,9",,2 Years,PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Cambrian College new,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Health Analytics - HAGC - Barrydowne,"In this program, students will develop an understanding of programming, statistics, and foundations of data management within the context of the emerging field of Health Analytics. The knowledge gained will be tested and applied through exercises focusing on critical thinking and problem-solving skills. Students will learn to work as a member of an interdisciplinary health analytics team. ",1,3,60,6.5,61,84,,"7,8",,95,15000,18000,,CAD,35 days,"1,5,9",,3 Sem (1 Year),PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Cambrian College new,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,International Business Management - IBG2 - Barrydowne,"If you're interested in pursuing a career in global business management, this intensive program with its extensive business management courses will enable you to explore key areas of ""international business management, including marketing, finance, and supply chains. You will develop the core skills required to effectively manage the aspects of international business activities for an organization and gain hands-on experience during a placement in your third semester.",1,3,60,6.5,61,84,,"7,8",,95,15000,18000,,CAD,35 days,"1,5,9",,3 Sem (1 Year),PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Cambrian College new,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,IT Business Analysis - BAGC - Barrydowne,"This intensive program will enable you to advance businesses at the strategic, tactical, and operational levels by improving processes, products, and services through technology. You will become a robust and valuable professional who is confident in bridging the gap between business and technology through your development of exceptional communication, leader, problem-solving, planning, and critical thinking skills.",1,3,60,6.5,61,84,,2,,95,15000,18000,,CAD,35 days,"1,5,9",,3 Sem (1 Year),PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Cambrian College new,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Organization Management - MOG2 - Barrydowne,"Maximize your leadership potential by team organizational management skills through this one-year program. You will take a series of carefully selected business management courses that will build and enhance your skills in critical areas such as finance, marketing, human resources, and leadership. These courses are designed to enhance your employability and career advancement in coveted business management and organizational management jobs.",1,,60,6.5,61,84,,"7,8",,95,15000,18000,,CAD,35 days,"1,5,9",,3 Sem (1 Year),PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Cambrian College new,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Organization Management - MOGC - Barrydowne,"Maximize your leadership potential by team organizational management skills through this one-year program. You will take a series of carefully selected business management courses that will build and enhance your skills in critical areas such as finance, marketing, human resources, and leadership. These courses are designed to enhance your employability and career advancement in coveted business management and organizational management jobs.",1,,60,6.5,61,84,,"7,8",,95,15000,18000,,CAD,35 days,"1,5,9",,3 Sem (1 Year),PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Cambrian College new,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Professional Accounting Practice - ACGC - Barrydowne,"Professional Accounting Practice graduate certificate program provides graduates with the required knowledge and skills essential to begin and advance in the field of accounting. Graduates will be well prepared for careers in the field with knowledge of all accounting disciplines including financial accounting, management accounting, audit and assurance, finance, and personal and corporate tax. Graduates also develop computer technology, management, problem-solving and critical thinking skills. This program is a pathway for students who already hold a bachelor's degree in any discipline other than accounting and who are interested in pursuing the Chartered Professional Accounting designation.",1,3,60,6.5,61,84,,"7,8,20",,95,15000,18000,,CAD,35 days,"1,5,9",,3 Sem (1 Year),PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Cambrian College new,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Project Management - PMP2 - Barrydowne,"Project Management has become a sought-after skill set across industries as businesses and organizations continue to look for efficiencies and overall effectiveness in order to successfully compete in domestic and global markets. Cambrian College?s one-year (two semesters) graduate certificate program will provide you with the essential theoretical and practical knowledge, skills and techniques to successfully plan, implement, manage and evaluate projects. The curriculum is closely aligned to, but not affiliated with, the Project Management Institute?s (PMI) Project Management Body of Knowledge (PMBOK). To learn more about becoming a certified project management professional.",1,,60,6.5,61,84,,"7,8",,95,15000,18000,,CAD,35 days,"1,5,9",,3 Sem (1 Year),PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Cambrian College new,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Supply Chain Management - SCG2 - Barrydowne,"Cambrian?s 8-month Supply Chain Management graduate certificate program is designed for postsecondary graduates looking to specialize in the growing field of logistics and supply chain management (SCM). You will gain the technical and analytical skills needed to analyze complex global supply chains using current technologies while developing your teamwork and leadership skills for the workplace.You will explore various industry-standard approaches and explore topics such as strategic sourcing, inventory management, transportation and logistics, project management, and enterprise resource planning (ERP) while working towards becoming a supply chain professional.",1,,60,6.5,61,84,,"7,8",,95,15000,18000,,CAD,35 days,"1,5,9",,1 Year,PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Cambrian College new,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Addictions and Mental Health - ADMH - Barrydowne,"Cambrian?s Addictions and Mental Health graduate certificate program prepares you with the skills and knowledge to support and treat individuals dealing with addiction and mental health issues.Courses in addiction and mental health disorders, treatment and prevention, counselling, and case management will provide you with the tools to deliver effective, personalized frontline care to clients of diverse ages and backgrounds.This program combines theory and practical learning, with the choice of a placement or capstone project where you?ll apply your skills to real, active cases.",1,3,60,6.5,61,84,,"16,17,18",,95,15000,18000,,CAD,35 days,"1,5,9",,3 Sem (1 Year),PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
