school,school_about,school_location,country,type,total_student,international_student,accomodation_feature,work_permit_feature,program_cooporation,work_while_study,condition_offer_letter,library,founded,program_name,description,duration,duration_sem_per_year,grade_score,overall_band,pte_score, tofel_point,new_stream,stream_id,other_fees,application_fee,min_tution_fee_per_semester,max_tution_fee,cost_of_living,currency,acceptance_letter,intake_id,visa_processing_days,credentials,program_level,other_comment,foundation_fee,acceptable_band,module,english_language,program_sort_order
Durham College,"With campuses in Oshawa and Whitby, Durham College (DC) offers over 11,000 full-time students access to more than 140 post-secondary programs, including four honours bachelor degree and nine apprenticeship programs. DC enables students to develop career-ready skills for the ever-changing job market by offering an exceptional college education. With a focus on experiential learning, led by experienced faculty, through field placements, applied research, co-ops and other hands-on opportunities, DC grads are known for having the skills and knowledge employers need.","2000 Simcoe St N, Oshawa, ON L1G 0C5, Canada",Canada,"1,5",43600,2000,yes,yes,yes,yes,yes,yes,1967,Artificial Intelligence Analysis Design and Implementation - AIDI - Oshawa,"Durham College of Applied Arts and Technology is located in the Durham Region of Ontario, Canada, with a campus co-located with Ontario Tech University in Oshawa, a second campus in Whitby, and community employment services in Uxbridge, Port Hope, Port Perry, Beaverton, Oshawa and Bowmanville.",1,2,50,6.5,58,,,"6,3,10",,100,14000,16000,,CAD,21 days,9,,PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Durham College,"With campuses in Oshawa and Whitby, Durham College (DC) offers over 11,000 full-time students access to more than 140 post-secondary programs, including four honours bachelor degree and nine apprenticeship programs. DC enables students to develop career-ready skills for the ever-changing job market by offering an exceptional college education. With a focus on experiential learning, led by experienced faculty, through field placements, applied research, co-ops and other hands-on opportunities, DC grads are known for having the skills and knowledge employers need.","2000 Simcoe St N, Oshawa, ON L1G 0C5, Canada",Canada,"1,5",43600,2000,yes,yes,yes,yes,yes,yes,1967,Environment Health and Safety Management - EHSM - Oshawa,"Enter the field of environmental health and safety management and launch a career where no two days are ever the same. As a graduate of this program, you will apply technical knowledge of safety hazards, health risks and dangers to prevent injuries and illness while supporting broader public safety. Become a highly skilled professional with the expertise to manage the social, health, environmental and legal issues associated with the built and natural environment. With the implementation of new legislated requirements in Canada regarding workplace safety and environmental protection standards, job prospects in this field are continuing to grow. Combine strategic problem solving with strong interpersonal skills as you perform environmental audits, deliver training, implement safety controls, conduct incident investigations, develop controls and contingency planning and prepare technical documentation and records in a quality-controlled environment. You will also be well-positioned to pursue the Certified Health and Safety Consultant designation upon graduation.",1,2,50,6.5,58,,,"5,16",,100,14000,16000,,CAD,21 days,9,,PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Durham College,"With campuses in Oshawa and Whitby, Durham College (DC) offers over 11,000 full-time students access to more than 140 post-secondary programs, including four honours bachelor degree and nine apprenticeship programs. DC enables students to develop career-ready skills for the ever-changing job market by offering an exceptional college education. With a focus on experiential learning, led by experienced faculty, through field placements, applied research, co-ops and other hands-on opportunities, DC grads are known for having the skills and knowledge employers need.","2000 Simcoe St N, Oshawa, ON L1G 0C5, Canada",Canada,"1,5",43600,2000,yes,yes,yes,yes,yes,yes,1967,Esport Business Management - ESBM - Oshawa,"Revenues for the global esports industry’s global market revenue was forecast to grow to as much as 1.62 billion U.S. dollars in 2024, and are closely mirroring those of established, mainstream professional sports leagues, including the NBA, NFL and NHL. In turn, the demand for skilled esports business professionals and the number of career opportunities in the field are growing at an exceptionally fast rate. This program will prepare students from a variety of backgrounds to successfully transition into the high-growth field of esports. Graduates emerge as highly skilled professionals possessing a unique combination of expertise in online marketing, copyright law, licensing, sponsorship, event management, content creation and much more. In addition to the tactical skills needed to support and generate revenue within the esports ecosystem, graduates possess deep understanding of gaming culture, including players, fans and the games themselves, which are vital to growing a successful career in this exciting field.",1,2,50,6.5,58,,,"7,8,10",,100,14000,16000,,CAD,21 days,9,,PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Durham College,"With campuses in Oshawa and Whitby, Durham College (DC) offers over 11,000 full-time students access to more than 140 post-secondary programs, including four honours bachelor degree and nine apprenticeship programs. DC enables students to develop career-ready skills for the ever-changing job market by offering an exceptional college education. With a focus on experiential learning, led by experienced faculty, through field placements, applied research, co-ops and other hands-on opportunities, DC grads are known for having the skills and knowledge employers need.","2000 Simcoe St N, Oshawa, ON L1G 0C5, Canada",Canada,"1,5",43600,2000,yes,yes,yes,yes,yes,yes,1967,Human Resources Management - HURM - Oshawa,"From recruitment and selection to training and development, a career in human resources (HR) requires a focus on both strategy and people. Skill, knowledge and ability in human resource planning, occupational health and safety, compensation, hiring, employee development, labour relations and managerial accounting enable HR professionals to contribute to business success in an increasingly competitive global marketplace while looking after the organization’s most important asset – its employees.",1,2,50,6.5,58,,,"7,8,10",,100,14000,16000,,CAD,21 days,9,,PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Durham College,"With campuses in Oshawa and Whitby, Durham College (DC) offers over 11,000 full-time students access to more than 140 post-secondary programs, including four honours bachelor degree and nine apprenticeship programs. DC enables students to develop career-ready skills for the ever-changing job market by offering an exceptional college education. With a focus on experiential learning, led by experienced faculty, through field placements, applied research, co-ops and other hands-on opportunities, DC grads are known for having the skills and knowledge employers need.","2000 Simcoe St N, Oshawa, ON L1G 0C5, Canada",Canada,"1,5",43600,2000,yes,yes,yes,yes,yes,yes,1967,International Business Management - INTB - Oshawa,"Professionals with knowledge in international business can help organizations understand marketing, law, trade and finance as they apply to the global village we live in. As a professional in this field you may investigate, analyze, administer and manage human, physical and operational resources, as well as complex strategic and practical management issues. In particular, you will gain skills in strategic decision-making, and conducting operational and marketing analysis for business firms on a global scale. Graduates of this program often work on cross-functional and global project teams in order to serve their clients.",1,2,50,6.5,58,,,"7,8,10",,100,14000,16000,,CAD,21 days,9,,PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Durham College,"With campuses in Oshawa and Whitby, Durham College (DC) offers over 11,000 full-time students access to more than 140 post-secondary programs, including four honours bachelor degree and nine apprenticeship programs. DC enables students to develop career-ready skills for the ever-changing job market by offering an exceptional college education. With a focus on experiential learning, led by experienced faculty, through field placements, applied research, co-ops and other hands-on opportunities, DC grads are known for having the skills and knowledge employers need.","2000 Simcoe St N, Oshawa, ON L1G 0C5, Canada",Canada,"1,5",43600,2000,yes,yes,yes,yes,yes,yes,1967,Project Management - PROM - Oshawa,"Project management professionals have the knowledge, skills, tools and techniques to successfully manage projects for a wide range of industries. To remain competitive in a global economy, organizations are using project management expertise to shorten product development cycles; respond quickly and effectively to opportunities or threats; re-evaluate their processes; capitalize on technical knowledge within the organization; and control the bottom-line. Project management is one of the top skill sets sought by organizations to help ensure their objectives are met on time and on budget. In fact, it is expected that by 2020 there will be a greater need than there will be candidates for these roles. Students start with basics and through a rigorous two-semester program supported by experienced teachers, graduate with real, applicable project experience under their belts.",1,2,50,6.5,58,,,"7,8",,100,14000,16000,,CAD,21 days,9,,PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Durham College,"With campuses in Oshawa and Whitby, Durham College (DC) offers over 11,000 full-time students access to more than 140 post-secondary programs, including four honours bachelor degree and nine apprenticeship programs. DC enables students to develop career-ready skills for the ever-changing job market by offering an exceptional college education. With a focus on experiential learning, led by experienced faculty, through field placements, applied research, co-ops and other hands-on opportunities, DC grads are known for having the skills and knowledge employers need.","2000 Simcoe St N, Oshawa, ON L1G 0C5, Canada",Canada,"1,5",43600,2000,yes,yes,yes,yes,yes,yes,1967,Sport Business Management - SBMT - Oshawa,"Designed for students with previous post-secondary education, this program is a fast-track to the sport industry. Sport business management is recognized as a distinct enterprise that requires specific skills, knowledge, attitudes and experience. Students gain advanced, intensive training through one semester of academics and one semester of field placement. With a commitment to personal and professional achievement, the program also offers numerous networking opportunities and a variety of experiential learning options to prepare you for your chosen career.",1,2,50,6.5,58,,,"7,8",,100,14000,16000,,CAD,21 days,9,,PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Durham College,"With campuses in Oshawa and Whitby, Durham College (DC) offers over 11,000 full-time students access to more than 140 post-secondary programs, including four honours bachelor degree and nine apprenticeship programs. DC enables students to develop career-ready skills for the ever-changing job market by offering an exceptional college education. With a focus on experiential learning, led by experienced faculty, through field placements, applied research, co-ops and other hands-on opportunities, DC grads are known for having the skills and knowledge employers need.","2000 Simcoe St N, Oshawa, ON L1G 0C5, Canada",Canada,"1,5",43600,2000,yes,yes,yes,yes,yes,yes,1967,Supply Chain Management Global - SCMG - Oshawa,"Crossing borders and spanning oceans, supply chain is a global industry that provides endless opportunities for skilled professionals who can plan, control, execute and optimize a product’s flow from point of origin to point of consumption in the most economical way possible. Each major phase of a product’s movement through the supply chain has its own distinct business process and discipline, and supply chain professionals have the unique knowledge and skillset needed to effectively manage the intricacies of this process.",1,2,50,6.5,58,,,"6,10,1",,100,14000,16000,,CAD,21 days,9,,PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Durham College,"With campuses in Oshawa and Whitby, Durham College (DC) offers over 11,000 full-time students access to more than 140 post-secondary programs, including four honours bachelor degree and nine apprenticeship programs. DC enables students to develop career-ready skills for the ever-changing job market by offering an exceptional college education. With a focus on experiential learning, led by experienced faculty, through field placements, applied research, co-ops and other hands-on opportunities, DC grads are known for having the skills and knowledge employers need.","2000 Simcoe St N, Oshawa, ON L1G 0C5, Canada",Canada,"1,5",43600,2000,yes,yes,yes,yes,yes,yes,1967,Wireless Telecommunications Internet of Things - WIOT - Oshawa,"From smartwatches and doorbell cameras, to household appliances and vehicles – the world is connected now more than ever, and these objects, or''things'', are embedded with sensors, software and other technologies that exchange data over the internet. Smart cities, home automation and wearable tech are part of this innovative and quickly-advancing industry that requires skilled programmers, developers and technicians.",1,2,50,6.5,58,,,2,,100,14000,16000,,CAD,21 days,9,,PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
Durham College,"With campuses in Oshawa and Whitby, Durham College (DC) offers over 11,000 full-time students access to more than 140 post-secondary programs, including four honours bachelor degree and nine apprenticeship programs. DC enables students to develop career-ready skills for the ever-changing job market by offering an exceptional college education. With a focus on experiential learning, led by experienced faculty, through field placements, applied research, co-ops and other hands-on opportunities, DC grads are known for having the skills and knowledge employers need.","2000 Simcoe St N, Oshawa, ON L1G 0C5, Canada",Canada,"1,5",43600,2000,yes,yes,yes,yes,yes,yes,1967,Addictions and Mental Health - ADMH - Oshawa,This program will help you to develop the knowledge and skills required to effectively address two of Canada's leading health care issues - mental health and addictive behaviours. You will gain both a theoretical understanding and the clinical skills required to help your clients successfully navigate their challenges with mental health and/or addictive behaviours as they begin their journey to wellness.,1,2,50,6.5,58,,,"16,17,19",,100,14000,16000,,CAD,21 days,9,,PG,2,Overall 6.5 No Less Than 6.0,,6,4,,
